,Name,,M,N,Teta,Pre_time
189,Golden,1,17,241,15,289.4391
157,Golden,1,18,241,14,54.4661
97,Golden,1,19,241,13,52.8506
103,Golden,1,21,241,12,52.5953
91,Golden,1,22,241,11,52.5464
18,Golden,1,25,241,10,50.0845
124,Golden,1,27,241,9,27.4902
92,Golden,1,31,241,8,18.8208
211,Golden,1,35,241,7,12.2036
25,Golden,1,41,241,6,9.3315
203,Golden,1,49,241,5,7.4923
146,Golden,2,22,321,15,162.291
204,Golden,2,23,321,14,161.121
15,Golden,2,25,321,13,160.166
192,Golden,2,27,321,12,74.8325
39,Golden,2,30,321,11,45.7286
150,Golden,2,33,321,10,32.8807
35,Golden,2,36,321,9,28.3275
95,Golden,2,41,321,8,26.9713
154,Golden,2,46,321,7,19.6227
65,Golden,2,54,321,6,17.6482
16,Golden,2,65,321,5,16.8315
153,Golden,3,27,401,15,2107.823
100,Golden,3,29,401,14,586.4871
86,Golden,3,31,401,13,164.6742
29,Golden,3,34,401,12,163.7181
106,Golden,3,37,401,11,162.3617
23,Golden,3,41,401,10,147.1436
177,Golden,3,45,401,9,111.6897
43,Golden,3,51,401,8,47.4508
59,Golden,3,58,401,7,26.9585
96,Golden,3,67,401,6,27.4615
141,Golden,3,81,401,5,26.6789
111,Golden,4,33,481,15,1092.2262
155,Golden,4,35,481,14,1096.0476
205,Golden,4,37,481,13,427.182
127,Golden,4,41,481,12,418.0155
218,Golden,4,44,481,11,413.5818
98,Golden,4,49,481,10,412.9688
185,Golden,4,54,481,9,408.1803
52,Golden,4,61,481,8,405.4698
188,Golden,4,69,481,7,65.622
20,Golden,4,81,481,6,43.9528
56,Golden,4,97,481,5,29.1568
58,Golden,5,14,201,15,201.2384
118,Golden,5,15,201,14,201.3392
1,Golden,5,16,201,13,209.4141
152,Golden,5,17,201,12,157.2273
7,Golden,5,19,201,11,41.3215
151,Golden,5,21,201,10,28.2367
125,Golden,5,23,201,9,27.3911
209,Golden,5,26,201,8,27.0147
40,Golden,5,29,201,7,26.0461
179,Golden,5,34,201,6,19.9063
166,Golden,5,41,201,5,6.2039
51,Golden,6,19,281,15,337.0337
72,Golden,6,21,281,14,283.7393
8,Golden,6,22,281,13,320.3499
55,Golden,6,24,281,12,137.9805
110,Golden,6,26,281,11,136.1368
67,Golden,6,29,281,10,57.1048
175,Golden,6,32,281,9,36.1552
112,Golden,6,36,281,8,36.5356
46,Golden,6,41,281,7,35.3502
212,Golden,6,47,281,6,33.9749
130,Golden,6,57,281,5,14.7816
117,Golden,7,25,361,15,454.957
71,Golden,7,26,361,14,354.656
9,Golden,7,28,361,13,351.6634
196,Golden,7,31,361,12,212.1029
76,Golden,7,33,361,11,125.2747
109,Golden,7,37,361,10,120.7193
34,Golden,7,41,361,9,120.0124
187,Golden,7,46,361,8,50.7271
93,Golden,7,52,361,7,19.4229
136,Golden,7,61,361,6,17.9953
12,Golden,7,73,361,5,17.0354
129,Golden,8,30,441,15,142.6442
114,Golden,8,32,441,14,143.3929
24,Golden,8,34,441,13,139.2735
176,Golden,8,37,441,12,105.0842
138,Golden,8,41,441,11,102.4587
215,Golden,8,45,441,10,97.7599
214,Golden,8,49,441,9,44.3322
69,Golden,8,56,441,8,31.9202
102,Golden,8,63,441,7,32.7083
75,Golden,8,74,441,6,29.5337
173,Golden,8,89,441,5,20.8973
216,Golden,9,18,256,15,39.7582
48,Golden,9,19,256,14,37.0545
181,Golden,9,20,256,13,32.8117
99,Golden,9,22,256,12,27.7818
68,Golden,9,24,256,11,22.1866
135,Golden,9,26,256,10,18.0739
79,Golden,9,29,256,9,13.3451
78,Golden,9,32,256,8,12.5484
210,Golden,9,37,256,7,11.7464
168,Golden,9,43,256,6,9.994
87,Golden,9,52,256,5,6.0873
90,Golden,10,22,324,15,52.526
84,Golden,10,24,324,14,37.141
137,Golden,10,25,324,13,35.1393
202,Golden,10,27,324,12,34.0636
85,Golden,10,30,324,11,28.2959
26,Golden,10,33,324,10,22.8942
105,Golden,10,36,324,9,20.2703
81,Golden,10,41,324,8,14.2998
88,Golden,10,47,324,7,13.5881
198,Golden,10,54,324,6,12.7644
70,Golden,10,65,324,5,10.6602
217,Golden,11,27,400,15,50.3549
197,Golden,11,29,400,14,47.7435
180,Golden,11,31,400,13,43.3737
53,Golden,11,34,400,12,36.2533
162,Golden,11,37,400,11,31.5427
0,Golden,11,40,400,10,25.3964
120,Golden,11,45,400,9,21.8275
3,Golden,11,50,400,8,18.6402
161,Golden,11,58,400,7,17.885
73,Golden,11,67,400,6,14.9465
54,Golden,11,80,400,5,10.2646
63,Golden,12,33,484,15,55.0865
145,Golden,12,35,484,14,53.3133
116,Golden,12,38,484,13,47.381
140,Golden,12,41,484,12,38.1127
172,Golden,12,44,484,11,36.7455
107,Golden,12,49,484,10,35.2015
219,Golden,12,54,484,9,33.2858
160,Golden,12,61,484,8,27.1617
113,Golden,12,70,484,7,23.0071
163,Golden,12,81,484,6,17.0056
147,Golden,12,97,484,5,11.0609
213,Golden,13,17,253,15,33.8564
108,Golden,13,19,253,14,26.1597
4,Golden,13,20,253,13,22.2693
57,Golden,13,22,253,12,23.7838
36,Golden,13,23,253,11,22.3618
61,Golden,13,26,253,10,17.5827
10,Golden,13,29,253,9,13.0849
199,Golden,13,32,253,8,13.0239
80,Golden,13,37,253,7,9.0975
194,Golden,13,43,253,6,7.5598
27,Golden,13,51,253,5,5.182
131,Golden,14,22,321,15,47.2213
74,Golden,14,23,321,14,41.004
158,Golden,14,25,321,13,32.4312
83,Golden,14,27,321,12,28.2805
45,Golden,14,30,321,11,23.6526
47,Golden,14,33,321,10,21.2777
144,Golden,14,36,321,9,17.982
191,Golden,14,41,321,8,14.2076
50,Golden,14,46,321,7,11.5219
22,Golden,14,54,321,6,9.0931
21,Golden,14,65,321,5,7.2597
167,Golden,15,27,397,15,50.9977
139,Golden,15,29,397,14,49.6608
77,Golden,15,31,397,13,41.1839
190,Golden,15,34,397,12,32.7361
132,Golden,15,37,397,11,28.3358
122,Golden,15,40,397,10,25.0986
11,Golden,15,45,397,9,19.1082
169,Golden,15,50,397,8,18.8852
42,Golden,15,57,397,7,15.3218
133,Golden,15,67,397,6,12.2701
183,Golden,15,80,397,5,10.0403
126,Golden,16,33,481,15,65.4052
174,Golden,16,35,481,14,58.0865
170,Golden,16,37,481,13,48.37
64,Golden,16,41,481,12,40.8272
201,Golden,16,44,481,11,34.2385
207,Golden,16,49,481,10,29.711
164,Golden,16,54,481,9,29.5855
30,Golden,16,61,481,8,23.8613
115,Golden,16,69,481,7,21.4582
184,Golden,16,81,481,6,15.7392
28,Golden,16,97,481,5,11.2221
82,Golden,17,17,241,15,75.6479
104,Golden,17,18,241,14,69.6157
89,Golden,17,19,241,13,56.5154
41,Golden,17,21,241,12,47.81
66,Golden,17,22,241,11,47.3505
32,Golden,17,25,241,10,23.0671
159,Golden,17,27,241,9,18.7857
19,Golden,17,31,241,8,10.8971
142,Golden,17,35,241,7,8.0233
178,Golden,17,41,241,6,7.3845
13,Golden,17,49,241,5,5.6934
186,Golden,18,21,301,15,179.4656
193,Golden,18,22,301,14,179.049
156,Golden,18,24,301,13,178.6017
49,Golden,18,26,301,12,83.4416
128,Golden,18,28,301,11,38.6669
62,Golden,18,31,301,10,31.6828
165,Golden,18,34,301,9,22.2157
2,Golden,18,38,301,8,16.6051
60,Golden,18,43,301,7,12.5499
200,Golden,18,51,301,6,9.4053
171,Golden,18,61,301,5,8.7146
38,Golden,19,25,361,15,360.2228
44,Golden,19,26,361,14,305.1066
31,Golden,19,28,361,13,220.8055
33,Golden,19,31,361,12,101.8487
148,Golden,19,33,361,11,54.3297
208,Golden,19,37,361,10,29.7134
121,Golden,19,41,361,9,21.4721
134,Golden,19,46,361,8,19.7847
195,Golden,19,52,361,7,18.8339
182,Golden,19,61,361,6,15.6286
206,Golden,19,73,361,5,13.3018
94,Golden,20,29,421,15,556.956
119,Golden,20,31,421,14,346.6998
149,Golden,20,33,421,13,291.0962
101,Golden,20,36,421,12,151.4802
123,Golden,20,39,421,11,82.6361
37,Golden,20,43,421,10,49.4799
14,Golden,20,47,421,9,46.3253
5,Golden,20,53,421,8,44.3817
6,Golden,20,61,421,7,43.8899
17,Golden,20,71,421,6,42.4269
143,Golden,20,85,421,5,17.5459
